word,n,sentiment,new_df_select_category1
易,1,positive,i
易怒,1,negative,i
服從,1,positive,nr
果,1,positive,ad
果決,1,positive,nr
欣慰,1,positive,l
武,1,positive,v
武裝,1,negative,a
歧視,1,negative,nr
沸騰,1,positive,v
油,1,negative,ng
沽名釣譽,1,negative,ad
法律,1,positive,v
泛,1,negative,n
注目,1,positive,n
注重,1,positive,v
狀元,1,positive,v
狗眼,1,negative,n
玩弄,1,negative,i
直勾勾,1,negative,n
知恩,1,positive,v
糾紛,1,negative,n
肥胖,1,negative,v
芥蒂,1,negative,n
花心,1,negative,n
花朵,1,positive,v
花言巧語,1,negative,z
芳,1,positive,v
虎頭蛇尾,1,negative,n
長存,1,positive,a
長於,1,positive,nrt
阻撓,1,negative,n
亮,1,positive,n
侵犯,1,negative,i
侵襲,1,negative,nr
侷限,1,negative,i
促成,1,positive,n
俏皮,1,positive,d
俗,1,negative,v
保健,1,positive,v
保障,1,positive,v
信不過,1,negative,v
信義,1,positive,n
信賴,1,positive,v
前所未有,1,positive,a
前衛,1,positive,a
勇,1,positive,nr
勇往直前,1,positive,v
勇於,1,positive,v
厚重,1,positive,n
厚實,1,positive,n
叛逆,1,negative,i
品行,1,positive,n
品味,1,positive,n
垮掉,1,negative,i
姣好,1,positive,v
威力,1,negative,a
客氣,1,positive,a
客觀,1,positive,v
很醜,1,negative,n
後果,1,negative,n
後悔莫及,1,negative,v
後進,1,negative,z
後顧之憂,1,negative,n
怒火中燒,1,negative,n
怒髮衝冠,1,negative,n
急性,1,negative,m
怨天尤人,1,negative,n
恨不得,1,positive,i
恨鐵不成鋼,1,negative,v
恰,1,positive,i
拜金,1,negative,i
拜讀,1,positive,i
指控,1,negative,n
指導,1,positive,i
挑戰性,1,positive,d
挖空,1,negative,i
施展,1,negative,d
既定,1,positive,n
是非,1,negative,v
枯寂,1,negative,vn
枯燥,1,negative,n
柔弱,1,negative,n
柔情,1,positive,n
柔軟,1,positive,vn
歪理,1,negative,b
毒品,1,negative,v
洋洋,1,positive,v
洋溢,1,positive,a
津津有味,1,positive,a
洶湧,1,positive,a
流出,1,negative,a
流言蜚語,1,negative,v
炸,1,negative,n
狠勁,1,negative,ns
狠毒,1,negative,v
狡猾,1,negative,i
狡辯,1,negative,x
珍珠,1,positive,v
珍視,1,positive,i
相安無事,1,positive,n
相等,1,positive,a
盼,1,positive,an
看不順眼,1,negative,a
看不慣,1,negative,vd
看車,1,positive,n
看得起,1,positive,v
砍掉,1,negative,i
突襲,1,negative,v
紅,1,positive,v
紅包,1,positive,l
紅色,1,positive,v
紅豆,1,positive,x
紅眼,1,negative,v
美女,1,positive,v
美味,1,positive,vn
耍脾氣,1,negative,zg
胡扯,1,negative,n
胡亂,1,negative,n
胡鬧,1,negative,n
致命,1,negative,n
苛刻,1,negative,n
苦工,1,negative,nz
苦命,1,negative,l
苦果,1,negative,v
苦海,1,negative,n
苦悶,1,negative,nr
苦楚,1,negative,v
苦頭,1,negative,a
苦澀,1,negative,n
英姿,1,positive,n
要不得,1,negative,n
要緊,1,positive,n
要緊,1,negative,a
負荷,1,negative,a
迫切,1,negative,n
迫使,1,negative,a
迫害,1,negative,nz
重逢,1,positive,v
重擔,1,positive,v
重擔,1,negative,v
面有難色,1,negative,n
風光,1,positive,a
風吹,1,negative,v
風度翩翩,1,positive,v
風格,1,positive,v
風暴,1,negative,v
飛翔,1,positive,v
食言,1,negative,i
香,1,positive,n
香甜,1,positive,v
乘人之危,1,negative,i
修理,1,positive,n
借重,1,positive,n
兼顧,1,positive,nz
凌遲,1,negative,n
剝奪,1,negative,ns
原封不動,1,positive,nr
唉呀,1,negative,i
埋葬,1,negative,v
害人,1,negative,v
家徒四壁,1,negative,v
展望,1,positive,nr
師長,1,positive,v
弱,1,negative,l
弱智,1,negative,i
徒勞,1,negative,v
恩人,1,positive,n
悄,1,positive,l
悄聲,1,positive,v
悔,1,negative,n
拳打腳踢,1,negative,a
拿手,1,positive,n
挫敗,1,negative,n
捉摸不定,1,negative,nrt
效果,1,positive,d
效率,1,positive,d
旁敲側擊,1,negative,vg
氣死人,1,negative,i
氣急敗壞,1,negative,v
浩瀚,1,positive,v
浪,1,negative,i
浪蕩,1,negative,n
浮,1,negative,n
浮淺,1,negative,i
消瘦,1,negative,n
涉世不深,1,negative,i
烙印,1,negative,a
特色,1,positive,n
留意,1,positive,v
疼惜,1,positive,v
病人,1,negative,n
病懨懨,1,negative,a
益友,1,positive,i
真心誠意,1,positive,n
真理,1,positive,n
破滅,1,negative,v
破綻百出,1,negative,v
破舊,1,negative,n
祕密,1,negative,z
祝賀,1,positive,nr
神不知鬼不覺,1,negative,i
神速,1,positive,n
神經質,1,negative,v
笑顏,1,positive,i
紊亂,1,negative,z
純淨,1,positive,n
缺少,1,negative,nr
缺席,1,negative,i
缺陷,1,negative,n
耿直,1,positive,n
臭屁,1,negative,n
臭罵,1,negative,a
茫茫,1,negative,a
草率,1,negative,v
荒蕪,1,negative,n
衷心,1,positive,v
討人厭,1,negative,nr
討喜,1,positive,n
訓練,1,positive,v
財富,1,positive,z
迷人,1,positive,n
迷上,1,positive,a
迷茫,1,negative,n
迷惑,1,negative,i
迷糊,1,negative,x
追根究底,1,positive,vn
追逐,1,negative,n
退化,1,negative,n
退步,1,negative,v
退縮,1,negative,z
酒醉,1,negative,v
陣痛,1,negative,a
除掉,1,negative,n
馬的,1,negative,v
高手,1,positive,v
高尚,1,positive,v
高強度,1,positive,v
高階,1,positive,v
高階,1,positive,n
高潮,1,positive,v
高檔,1,positive,n
鬥爭,1,positive,uj
鬥爭,1,negative,n
鬼迷心竅,1,positive,n
鬼混,1,negative,n
鬼話,1,negative,nr
假的,1,negative,nr
偏見,1,negative,nr
偏差,1,negative,b
偏激,1,negative,vn
偕老,1,positive,vn
做得好,1,positive,i
停業,1,negative,nr
停滯,1,negative,n
健忘,1,negative,n
健談,1,positive,uj
偽善,1,negative,v
動用,1,negative,n
動怒,1,negative,v
唱反調,1,negative,v
問心無愧,1,positive,v
基礎薄弱,1,negative,v
堅守,1,positive,v
堅韌,1,positive,a
堅實,1,positive,v
奢望,1,positive,x
婆婆媽媽,1,negative,n
寂靜,1,positive,v
寄情,1,positive,l
密謀,1,negative,i
專屬,1,positive,l
崎嶇,1,negative,v
庸俗,1,negative,a
強壯,1,positive,ad
強者,1,positive,a
強悍,1,positive,n
得救,1,positive,a
得罪,1,negative,n
得寵,1,negative,n
得體,1,positive,n
從容,1,positive,a
悠長,1,positive,a
悠哉,1,positive,a
情不自禁,1,positive,n
情份,1,positive,a
情義,1,positive,v
情誼,1,positive,v
惆,1,negative,v
惜,1,positive,a
惜,1,negative,v
捲土重來,1,negative,z
排除,1,negative,a
排擠,1,negative,i
掛心,1,negative,n
掛念,1,negative,n
探索,1,positive,n
推動,1,positive,a
推翻,1,negative,nr
救濟,1,positive,nr
敗筆,1,negative,l
教誨,1,positive,v
教養,1,positive,v
殺死,1,negative,v
殺氣,1,negative,v
毫不在乎,1,negative,v
涼,1,negative,v
淡薄,1,negative,v
淪落,1,negative,n
深沉,1,positive,n
深度,1,positive,v
深省,1,positive,n
深淵,1,negative,v
深造,1,positive,n
深遠,1,positive,l
混,1,negative,v
混血,1,negative,a
淹沒,1,negative,v
清一色,1,positive,a
清純,1,positive,ns
清除,1,positive,ns
清淡,1,positive,ns
清淡,1,negative,v
清澈,1,positive,a
清算,1,negative,v
清潔,1,positive,v
爽口,1,positive,v
猛烈,1,negative,i
猛然,1,negative,a
猛擊,1,negative,v
猜疑,1,negative,a
率,1,positive,a
率,1,negative,a
率先,1,positive,v
現世報,1,negative,a
理虧,1,negative,vn
甜甜蜜蜜,1,positive,a
異議,1,negative,d
盛怒,1,negative,v
盛情,1,positive,v
眷顧,1,positive,v
眷顧,1,negative,v
眼熟,1,positive,d
笨豬,1,negative,n
粗,1,negative,v
粗心,1,negative,z
粗暴,1,negative,n
粗線條,1,negative,nr
紮實,1,positive,n
累贅,1,negative,v
細長,1,positive,v
細膩,1,positive,a
絆倒,1,negative,n
羞辱,1,negative,a
聆聽,1,positive,a
脫口,1,negative,a
處心積慮,1,negative,n
被告,1,negative,a
貪心,1,negative,an
貪圖,1,positive,n
貪圖,1,negative,a
貪戀,1,positive,v
責任心,1,positive,v
責問,1,negative,v
責備,1,negative,vn
軟綿綿,1,negative,i
逍遙,1,positive,n
透明,1,positive,v
透頂,1,negative,v
透徹,1,positive,v
通才,1,positive,v
通用,1,positive,n
通牒,1,negative,n
造作,1,negative,n
造詣,1,positive,z
連根拔起,1,positive,a
連累,1,negative,v
陰,1,negative,n
陰間,1,negative,v
陳,1,negative,n
魚肉,1,negative,v
麻煩事,1,negative,n
傑,1,positive,vn
割傷,1,negative,n
勝,1,positive,l
勞累,1,negative,a
博愛,1,positive,a
唾棄,1,negative,n
善,1,positive,nr
喚醒,1,positive,n
喜事,1,positive,i
喜新厭舊,1,negative,nr
喜樂,1,positive,v
喪志,1,negative,v
喪鐘,1,negative,vn
單調,1,negative,nr
報仇,1,negative,v
報答,1,positive,v
富,1,positive,v
寒,1,negative,v
寒心,1,negative,i
寒冷,1,negative,ns
復興,1,positive,n
悲,1,negative,n
悲悽,1,negative,n
悶住,1,negative,v
悶悶,1,negative,v
惡劣,1,negative,nr
惡狠狠,1,negative,n
惡習,1,negative,n
惡意,1,negative,a
惡感,1,negative,a
惡質,1,negative,n
惱人,1,negative,a
惱怒,1,negative,v
惶恐,1,negative,a
愉悅,1,positive,a
愣住,1,negative,z
插手,1,negative,v
揚言,1,negative,v
揭發,1,positive,a
揭露,1,negative,n
揮霍,1,negative,a
揮霍無度,1,negative,v
揶揄,1,negative,a
敦促,1,negative,a
斑駁,1,negative,v
景觀,1,positive,v
智慧型,1,positive,nr
智慧型,1,positive,v
最差,1,negative,v
最新,1,positive,v
朝氣,1,positive,i
欺瞞,1,negative,v
殘缺,1,negative,v
渴求,1,positive,z
渺小,1,negative,n
無中生有,1,negative,nr
無可,1,negative,nr
無名,1,negative,a
無地自容,1,negative,d
無私,1,positive,n
無所事事,1,negative,v
無知,1,negative,a
無表情,1,negative,v
無畏,1,positive,a
無病呻吟,1,negative,b
無常,1,negative,v
無理,1,negative,v
無傷大雅,1,negative,i
無暇,1,positive,b
無雙,1,positive,i
無權,1,negative,v
焦灼,1,negative,n
焦急,1,negative,v
猶豫不決,1,negative,i
痛哭流涕,1,negative,d
痞子,1,negative,v
發光,1,positive,i
發育,1,positive,d
發臭,1,negative,m
發起,1,positive,n
發動,1,negative,a
發掘,1,positive,a
發達,1,positive,i
發瘋,1,negative,i
發熱,1,negative,n
盜用,1,negative,v
短路,1,negative,vn
硬性,1,negative,v
硬逼,1,negative,v
稀有,1,positive,vn
稀奇,1,positive,v
窘境,1,negative,v
筆力,1,positive,v
策劃,1,negative,v
結疤,1,negative,v
結識,1,positive,n
絞痛,1,negative,n
舒暢,1,positive,v
舒緩,1,positive,v
菜色,1,negative,a
著急,1,negative,n
虛妄,1,negative,n
虛弱,1,negative,n
虛假,1,negative,n
虛張聲勢,1,negative,n
虛脫,1,negative,n
裂開,1,negative,a
視而不見,1,negative,a
貸,1,negative,n
費時,1,negative,x
費神,1,negative,a
超出,1,negative,a
越氣,1,negative,a
開門見山,1,positive,i
開眼,1,positive,v
開誠佈公,1,positive,v
閒閒,1,negative,i
陽奉陰違,1,negative,v
雄健,1,positive,n
集資,1,positive,n
順,1,positive,v
順眼,1,positive,x
順勢,1,positive,i
順應,1,positive,v
亂成一團,1,negative,n
亂哄哄,1,negative,x
亂說,1,negative,nr
亂講,1,negative,a
傳染,1,negative,n
傳染病,1,negative,p
傷疤,1,negative,d
傷痕,1,negative,n
傷悲,1,negative,v
傷腦筋,1,negative,i
傾心,1,positive,z
勢利眼,1,negative,v
勤,1,positive,v
勤勞,1,positive,vn
塞到,1,negative,n
幹麻,1,negative,n
微不足道,1,negative,n
惹怒,1,negative,a
愁眉苦臉,1,negative,n
意味,1,positive,n
愚昧,1,negative,n
愚痴,1,negative,a
感人,1,positive,a
感染,1,positive,x
感染,1,negative,x
感慨,1,negative,i
感傷,1,negative,v
感激不盡,1,positive,i
愧對,1,negative,n
慈,1,positive,a
慈祥,1,positive,n
搖擺,1,negative,n
搞亂,1,negative,v
搪塞,1,negative,v
搭手,1,positive,v
搶走,1,negative,v
敬酒,1,positive,l
新生,1,positive,v
暈頭轉向,1,negative,nr
暖意,1,positive,nr
暗中,1,negative,v
暗暗,1,negative,v
暗藏,1,negative,v
會心一笑,1,positive,v
楚楚可憐,1,positive,v
業障,1,negative,v
極致,1,positive,n
殿堂,1,positive,i
毀約,1,negative,n
毀掉,1,negative,d
毀損,1,negative,d
準,1,positive,v
溫存,1,positive,l
溫情,1,positive,nr
溫馴,1,positive,n
滑稽,1,positive,d
滑稽,1,negative,n
煞車,1,negative,v
照實,1,positive,v
煩人,1,negative,v
煩心,1,negative,v
煩死,1,negative,n
煩悶,1,negative,n
痴情,1,positive,nr
碎片,1,negative,a
碰運氣,1,negative,a
碰撞,1,negative,n
禁錮,1,negative,d
罪孽,1,negative,a
義,1,positive,a
肆虐,1,negative,a
肆意,1,negative,a
萬惡,1,negative,n
萬無一失,1,positive,n
萬歲,1,positive,l
落入,1,negative,v
落伍,1,negative,v
落後,1,negative,n
落後,1,negative,ng
裝傻,1,negative,v
解氣,1,negative,d
解救,1,positive,n
誇,1,positive,i
誇說,1,positive,m
誇讚,1,positive,v
誠,1,positive,n
誠心誠意,1,positive,a
誠意,1,positive,a
資助,1,positive,v
資源,1,positive,v
躲避,1,negative,v
較量,1,negative,v
逼近,1,negative,v
達,1,positive,nrt
違背,1,negative,a
酬勞,1,positive,i
隔閡,1,negative,a
雷同,1,negative,n
預祝,1,positive,n
預設,1,positive,v
頑固,1,negative,d
頑強,1,positive,v
頑強,1,negative,zg
鼓吹,1,negative,v
鼓舞,1,positive,v
厭,1,negative,n
團聚,1,positive,nr
境界,1,positive,v
嫩,1,negative,vn
實用,1,positive,a
對得起,1,negative,a
嶄新,1,positive,a
慘死,1,negative,v
慘淡,1,positive,v
慘淡,1,negative,zg
慘絕人寰,1,negative,v
慟哭,1,negative,n
慢性,1,negative,a
摔倒,1,negative,v
摻雜,1,negative,v
槍斃,1,negative,b
歌唱,1,positive,v
滿口,1,positive,z
滿面春風,1,positive,z
滿堂彩,1,positive,i
漆黑,1,negative,v
漠不關心,1,negative,b
漣漪,1,positive,v
漸入佳境,1,positive,v
澈底,1,positive,v
熊,1,negative,n
犒賞,1,positive,ns
瑣碎,1,negative,nz
疑心,1,negative,i
盡孝,1,positive,z
睿智,1,positive,l
福音,1,positive,n
稱心如意,1,positive,i
稱羨,1,positive,nr
端詳,1,positive,nr
管我,1,negative,v
精,1,positive,a
精美,1,positive,n
精英,1,positive,v
精疲力盡,1,negative,a
精確,1,positive,n
精緻,1,positive,i
緊湊,1,positive,v
蒼白,1,negative,v
蜜,1,positive,vn
認輸,1,negative,r
誓言,1,positive,n
誣賴,1,negative,a
誤,1,negative,n
誤解,1,negative,i
說不過去,1,negative,a
說白了,1,positive,a
說來話長,1,negative,a
說服力,1,positive,z
說教,1,negative,n
豪語,1,positive,vn
豪邁,1,positive,n
趕出,1,negative,v
趕盡殺絕,1,negative,v
輔佐,1,positive,v
輔助,1,positive,l
輕而易舉,1,positive,l
輕輕地,1,positive,l
輕薄,1,negative,l
遠去,1,negative,v
遠點,1,negative,n
銘刻,1,positive,a
魂牽夢縈,1,positive,v
齊,1,positive,i
僵,1,negative,v
僵局,1,negative,vn
僵硬,1,negative,i
劇痛,1,negative,z
嘴硬,1,negative,a
嘻嘻,1,positive,t
增強,1,positive,n
增進,1,positive,n
嬌羞,1,negative,l
寬,1,positive,a
寬敞,1,positive,n
寬闊,1,positive,n
嶙峋,1,negative,a
廢寢忘食,1,positive,n
廣博,1,positive,a
彈性,1,positive,z
慰問,1,positive,v
摯,1,positive,v
撐著,1,negative,a
撕毀,1,negative,a
撕碎,1,negative,a
撫養,1,positive,a
撮合,1,positive,z
敵人,1,negative,i
暴雨,1,negative,ns
暴發出來,1,negative,n
樂此不疲,1,positive,v
樂於,1,positive,zg
樂於,1,positive,v
樂園,1,positive,n
模範,1,positive,v
毅然,1,positive,v
潦草,1,negative,v
熱,1,positive,v
獎賞,1,positive,n
獎學金,1,positive,n
確,1,positive,l
碼的,1,negative,i
窮人,1,negative,v
窮困潦倒,1,negative,v
罵名,1,negative,n
衝出,1,negative,n
衝勁,1,positive,d
衝破,1,positive,a
誹謗,1,negative,zg
調劑,1,positive,v
談笑,1,positive,n
談笑風生,1,positive,d
賠錢,1,negative,n
賦予,1,positive,uj
賭注,1,negative,n
賭錢,1,negative,i
趣事,1,positive,v
踐行,1,positive,v
適切,1,positive,a
適度,1,positive,vn
適當,1,positive,v
遷怒,1,negative,n
震,1,negative,vn
震動,1,negative,i
餓死,1,negative,v
餘裕,1,positive,v
駑鈍,1,negative,v
鬧大,1,negative,v
鬧彆扭,1,negative,n
鬧翻,1,negative,v
冀望,1,positive,a
冀望,1,negative,a
凝重,1,positive,a
凝重,1,negative,v
戰爭,1,negative,v
戰勝,1,positive,vn
戰戰兢兢,1,negative,v
擁擠,1,negative,nr
整齊,1,positive,a
整潔,1,positive,x
曇花一現,1,negative,z
樸實,1,positive,v
橋樑,1,positive,nr
機械式,1,negative,nr
激昂,1,positive,v
激怒,1,negative,v
激戰,1,negative,n
濃厚,1,positive,n
濃烈,1,negative,i
熾熱,1,positive,v
燈塔,1,positive,d
獨一無二,1,positive,a
獨立自主,1,positive,i
窺探,1,negative,a
翱翔,1,positive,n
興致勃勃,1,positive,n
諱言,1,negative,a
輸家,1,negative,a
遲疑,1,negative,v
遺棄,1,negative,a
遺漏,1,negative,a
鋼鐵,1,positive,a
錐心,1,negative,n
錯字,1,negative,i
錯怪,1,negative,i
錯亂,1,negative,v
險峻,1,negative,v
頭皮發麻,1,negative,i
頭頭是道,1,positive,v
頹喪,1,negative,n
默許,1,positive,d
優柔寡斷,1,negative,v
嚇一跳,1,negative,n
嚇了一跳,1,negative,n
嚇壞,1,negative,n
戲劇化,1,positive,n
擊敗,1,negative,n
擊潰,1,negative,n
擦傷,1,negative,a
濫,1,negative,n
燦,1,positive,l
癌,1,negative,a
癌症,1,negative,d
糙,1,negative,i
糜爛,1,negative,v
糞土,1,negative,v
繁雜,1,negative,v
聯合,1,positive,n
聯合,1,negative,v
膽小,1,negative,v
臆,1,negative,v
臆測,1,negative,v
臉紅,1,positive,a
臨死,1,negative,zg
舉棋不定,1,negative,n
艱,1,negative,zg
艱苦,1,positive,v
艱苦,1,negative,n
艱鉅,1,negative,a
薄弱,1,negative,v
講理,1,positive,v
謝意,1,positive,a
謠言,1,negative,v
避重就輕,1,negative,v
避諱,1,negative,n
醜,1,negative,v
醜惡,1,negative,i
醜態,1,negative,a
醜醜,1,negative,a
隱形,1,negative,a
點破,1,positive,a
點綴,1,positive,a
點醒,1,positive,n
擴大,1,positive,v
斷掉,1,negative,n
斷然,1,positive,i
歸還,1,positive,v
禮遇,1,positive,zg
翻新,1,positive,a
覆轍,1,negative,n
謬論,1,negative,n
豐厚,1,positive,n
豐盛,1,positive,v
蹣跚,1,negative,v
闖入,1,negative,v
雜亂,1,negative,v
雜質,1,negative,v
雞巴,1,negative,d
離鄉,1,negative,v
離題,1,negative,n
鬆垮,1,negative,v
鬆散,1,negative,n
鬆懈,1,negative,n
懷,1,positive,a
爆滿,1,positive,a
瓊瑤,1,positive,v
礙事,1,positive,v
礙事,1,negative,n
穩,1,positive,n
穩重,1,positive,n
藝術,1,positive,v
贊助,1,positive,n
辭呈,1,negative,v
邋遢,1,negative,v
關在,1,negative,a
關愛,1,positive,v
難以捉摸,1,negative,v
難吃,1,negative,nr
難事,1,negative,v
難處,1,negative,v
願景,1,positive,a
騙子,1,negative,a
騙局,1,negative,n
龐大,1,negative,v
勸告,1,negative,v
嚴苛,1,negative,a
嚴重事故,1,negative,v
寶,1,positive,v
寶寶,1,positive,i
獻寶,1,positive,a
覺醒,1,positive,n
觸礁,1,negative,d
警報,1,negative,x
饒,1,positive,n
饒,1,negative,n
囂張,1,negative,a
屬實,1,positive,v
灌輸,1,negative,a
爛漫,1,positive,i
爛戲,1,negative,nr
蠢笨,1,negative,nr
蠢蛋,1,negative,nrt
躊躇,1,positive,v
躊躇,1,negative,n
辯駁,1,negative,n
辯論,1,negative,v
霸氣,1,positive,v
顧及,1,positive,a
魔力,1,positive,v
儼然,1,positive,vn
囊括,1,positive,z
權威,1,positive,x
權益,1,positive,a
歡度,1,positive,n
聽天由命,1,negative,v
顫抖,1,negative,v
髒亂,1,negative,v
變卦,1,negative,n
變空,1,negative,n
變動,1,negative,v
變黑,1,negative,n
變臉,1,negative,v
顯赫,1,positive,v
驚人,1,negative,nr
驚恐,1,negative,n
驚悚,1,negative,ns
體察,1,positive,i
矗立,1,positive,v
羈絆,1,negative,n
蠶食鯨吞,1,negative,v
靈敏,1,positive,vn
靈驗,1,positive,vn
蠻不講理,1,negative,v
讚不絕口,1,positive,v
讚譽,1,positive,a
