word,num,sentiment,new_df_select_category1
希望,626,positive,v
難過,463,negative,v
開心,256,positive,v
快樂,180,positive,a
壓力,147,negative,n
幸福,135,positive,a
生氣,134,negative,n
痛,126,negative,a
怕,110,negative,v
傷害,105,negative,a
擔心,100,negative,v
美好,091,positive,a
害怕,091,negative,v
眼淚,089,negative,n
討厭,088,negative,v
後悔,086,negative,v
期待,084,positive,v
崩潰,082,negative,v
感謝,082,positive,v
珍惜,079,positive,a
冷靜,077,positive,a
穩定,072,positive,a
曖昧,067,negative,a
傷心,064,negative,n
甜蜜,062,positive,a
心痛,043,negative,n
浪費,041,negative,n
甘心,031,positive,n
假裝,027,negative,n
理智,027,positive,n
傻眼,023,negative,n